Title,Description,Course_Link,Course_Rating,Rating_Number,Course_Completed_By,Instructor,Instructor_Link,Instructor_Rating,Rating_Out_Of,Learners_Age_Range,Learners_Per_Class,Course_Price
3rd Grade Math Full Year Curriculum!,In this class students will learn and master 3rd grade math curriculum in engaging way. Best fit for homeschool & after-school students. Try First Week For 50% Off! #academic,https://outschool.com/classes/3rd-grade-math-full-year-curriculum-wWl2sgv9,4.7,10,86,Learnish,https://outschool.com/teachers/Learnish,4.6,767,7-9,3-8,$51
Master Your Multiplication Table! Tips and Tricks to Make Learning Easy!,This class will help your student Master the Multiplication Tables! Numbers 1 -12!,https://outschool.com/classes/master-your-multiplication-table-tips-and-tricks-to-make-learning-easy-l0e66lT4,4.8,142,1134,Dave McLaughlin,https://outschool.com/teachers/Teacher-Dave,4.8,281,8-11,1-8,$30
Olympiad Math for Grade 2 - Grade 3 Students (Ongoing),Online Olympiad Math: students can learn problem-solving skills by using the basic of mathematics,https://outschool.com/classes/olympiad-math-for-grade-2-grade-3-students-ongoing-ynQ83KqV,4.8,97,679,Paul Yiu,https://outschool.com/teachers/Paul-Yiu,4.8,318,7-8,4-11,$15
"4th Grade Full Curriculum (ELA, Math, Science & Social Studies)","In this class, students will learn the 4th-grade full curriculum (ELA, Math, Science, Social Studies) in a fun and engaging way with a certified teacher.",https://outschool.com/classes/4th-grade-full-curriculum-ela-math-science-social-studies-ndLXrCbI,4.7,3,26,Learnish,https://outschool.com/teachers/Learnish,4.6,767,8-11,2-10,$65
Roblox Math Tutoring: Let's Play Roblox and Practice Math at the Same Time Lvl 2,Join at any time. This class is designed for reluctant math students who don't typically want to practice math. We'll use Roblox games to spark their interest and get them learning without even realizing it.,https://outschool.com/classes/roblox-math-tutoring-lets-play-roblox-and-practice-math-at-the-same-time-lvl-2-HVWPbL9r,4.6,68,664,Mz. Marianna's Tutoring for Math and Reading,https://outschool.com/teachers/Marianna-Vitale,4.7,289,7-12,3-13,$40
Getting a 1600 on the SAT (and a 36 on the ACT) Workshop,"In this twice-a-week class, you will learn every trick to get the highest score on the SAT and ACT (including the new Digital SAT). We will go through mock tests on the English and Math sections from the simplest to the most advanced questions that are harder than the actual test.",https://outschool.com/classes/getting-a-1600-on-the-sat-and-a-36-on-the-act-workshop-DQ6vf3cZ,4.8,222,1534,Jason Maltz,https://outschool.com/teachers/Jason-Maltz,4.8,222,13-18,5-18,$30
Roblox Math Class: Beginner Level 1 - Let's Play Roblox and Practice Math,Students will learn and practice math skills using Roblox.,https://outschool.com/classes/roblox-math-class-beginner-level-1-lets-play-roblox-and-practice-math-3SwLE3Jm,5,4,97,Mz. Marianna's Tutoring for Math and Reading,https://outschool.com/teachers/Marianna-Vitale,4.7,289,3-8,3-10,$25
One-to-One Private Math Tutoring Once a Week (Ongoing),Math Tutoring for Students struggling or wanting to excel in their current math class.,https://outschool.com/classes/one-to-one-private-math-tutoring-once-a-week-ongoing-wO62nDsg,5,26,169,Maria Rebecca Gloria,https://outschool.com/teachers/Maria-Rebecca-Gloria,4.9,"1,258",8-13,1,$51
Bridging Math Skills From 2nd to 3rd Grade,"In this ongoing class, your child will learn 3rd grade Math skills as we ease from skills they learned in 2nd grade into 3rd grade concepts.",https://outschool.com/classes/bridging-math-skills-from-2nd-to-3rd-grade-A3QULgiC,4.9,103,768,Stacey Whitten,https://outschool.com/teachers/Mrs-Whitten,5,393,7-9,2-12,$15
Master Your Multiplication Facts - Minecraft Multiplication! (Ongoing),This is a weekly class that allows students to become confident in learning and memorizing their multiplication facts 0-12. Students will practice their facts using Kahoot and have fun completing activities that will improve their scores! #academic,https://outschool.com/classes/master-your-multiplication-facts-minecraft-multiplication-ongoing-sDFiA7yw,4.8,192,2033,Natalie Lipps,https://outschool.com/teachers/Natalie-Lipps,4.9,874,6-11,3-18,$16
Roblox Math Series: Let's Play Roblox and Practice Math at the Same Time-Level 3,"In this ongoing class, students will use interactive games to practice intermediate math skills such as fractions, long division, decimals, and mixed operations. #academic",https://outschool.com/classes/roblox-math-series-lets-play-roblox-and-practice-math-at-the-same-time-level-3-aMJmA7h8,5,10,83,Mz. Marianna's Tutoring for Math and Reading,https://outschool.com/teachers/Marianna-Vitale,4.7,289,8-13,3-10,$18
Pre-Algebra Full Course: Ongoing (Three Days per Week),"In this Full Pre-Algebra Course, we'll learn all standards necessary that you will need to be promoted to the next level- Algebra 1, discover real world applications, and have fun while doing it all!",https://outschool.com/classes/pre-algebra-full-course-ongoing-three-days-per-week-MQx37vAc,4.9,52,354,"Cameron Weaver, B.S. Math",https://outschool.com/teachers/Cameron-Weaver,4.9,146,11-16,3-18,$35
Rolling Numbers: Learn Multiplication and Division Through Rhythm!,"In this weekly class, students will use rhythm to skip count as a method to gain fluency in multiplication and division facts (times tables)",https://outschool.com/classes/rolling-numbers-learn-multiplication-and-division-through-rhythm-0bSWwi7s,4.9,67,442,Ms. Jericha's Mathprov Academy,https://outschool.com/teachers/Jericha-Roberson,4.9,197,7-11,2-10,$16
Bridging Math Skills From 3rd Grade Into 4th Grade,"In this 22 wk class, your child will learn 4th grade math skills while reviewing 3rd grade skills. skills include place value, comparing numbers, addition and subtraction, decimals and fractions, multiplying and dividing large numbers.",https://outschool.com/classes/bridging-math-skills-from-3rd-grade-into-4th-grade-KlJrGr8w,5,115,1072,Stacey Whitten,https://outschool.com/teachers/Mrs-Whitten,5,393,8-10,2-14,$15
"Mario Multiplication Memory Math Game Club! Practice, Learn & Have Fun!","Each week in this ongoing class we will play a Super Mario memory math game focusing on a different single set of multiplication facts & we will fill out a worksheet to help us remember, reinforce & practice that weeks number set! #Academic",https://outschool.com/classes/mario-multiplication-memory-math-game-club-practice-learn-have-fun-a0ptyJ9h,5,24,291,Jenny,https://outschool.com/teachers/Jenny-202109,4.9,478,6-10,1-7,$10
4th Grade Math Full Year Curriculum!,In this class students will learn and master 4th grade math full curriculum in fun and engaging way. Best fit for homeschool & after-school students. Try First Week For 50% Off! #academic,https://outschool.com/classes/4th-grade-math-full-year-curriculum-9nfWmma5,4.8,28,230,Learnish,https://outschool.com/teachers/Learnish,4.6,767,8-10,1-10,$34
Math Talks: Let's Think and Talk About Math! Ages 6-8,"In this ongoing course, students will develop their number sense and mathematical thinking skills through fun activities.",https://outschool.com/classes/math-talks-lets-think-and-talk-about-math-ages-6-8-0cidMgBw,4.9,111,1044,"Amanda Draizen, M.ED, MLS",https://outschool.com/teachers/Amanda-Draizen,4.8,283,6-8,3-6,$7
Numberblocks! Circle Time- Show and Tell -Colouring- Math Activity (UK Teacher),"In this fun, interactive ongoing class learners can join in with a Numberblocks colouring activity, share their favourite toy, chat and enjoy a Numberblocks themed math activity.",https://outschool.com/classes/numberblocks-circle-time-show-and-tell-colouring-math-activity-uk-teacher-SYHkZgqy,5,5,57,"Teacher Heidi - BSc., PGCE",https://outschool.com/teachers/Heidi-Evans,5,19,3-6,1-6,$9
"6Th Grade Math- Full Year Curriculum- Fun, Engaging & Hands On~Licensed Teacher","This 6th grade math class will be engaging and fun, with a license teacher. Perfect for students who grasp math concepts quickly or those who are using this class for additional practice/review. Great for homeschool public school families.",https://outschool.com/classes/6th-grade-math-full-year-curriculum-fun-engaging-hands-onlicensed-teacher-6rZnCdzQ,5,1,20,Elisa Neal,https://outschool.com/teachers/Elisa-Neal,5,102,9-12,3-18,$25
Long Division Boot Camp,"In this ongoing class, students will learn long division and then practice their skills. Join or cancel at any time!",https://outschool.com/classes/long-division-boot-camp-7F6o5G2E,5,14,97,Dana Hutsell,https://outschool.com/teachers/Dana-Hutsell,5,48,9-13,6-9,$15
Math Talks: Mastering Mental Math,"Join us as we solve addition, subtraction, multiplication and division problems using our mental math. Learners will develop mental math strategies and confidence in this interactive math class! #academic",https://outschool.com/classes/math-talks-mastering-mental-math-hmNGolg4,5,2,42,Click Tutoring and Learning,https://outschool.com/teachers/Click-Tutoring-and-Learning,4.8,47,7-10,2-7,$12
Telling Time - A Full School Day in 55 Minutes.,"In this introduction to telling time class, learners will practice telling time to the hour and half hour on both analog and digital clocks. #academic",https://outschool.com/classes/telling-time-a-full-school-day-in-55-minutes-fymvePJv,4.8,46,202,"Sharon Gribble, MEd",https://outschool.com/teachers/Teacher_Sharon,4.9,489,5-8,1-5,$18
"Learn Math With Ms. Shaniqua: Division, Multiplication, Fractions, etc: 30 mins.","In this ongoing class, come learn multiplication, division, and fractions, from the basics and more! #academic",https://outschool.com/classes/learn-math-with-ms-shaniqua-division-multiplication-fractions-etc-30-mins-gHyoRU40,4.9,33,280,"Teacher Shaniqua H, MSW",https://outschool.com/teachers/Shaniqua-Holmes,5,239,8-13,3-10,$10
Master the Multiplication Facts With Fun Games! Ongoing,"In this weekly class, students will practice their multiplication facts 0-12 with a different game each class! Each game is fun, interactive, engaging and will make multiplication FUN, boost confidence and help memorize the facts! #academic",https://outschool.com/classes/master-the-multiplication-facts-with-fun-games-ongoing-JnImhW1D,4.9,49,415,Natalie Wright,https://outschool.com/teachers/Natalie-Wright,4.9,258,7-11,2-6,$11
Fifth Grade Math Ongoing Math Skills,"In this ongoing 5th-grade math course, students will learn and practice fifth-grade math skills and problem-solving strategies in a supportive and low-stress environment. Skills taught are based on the Common Core State Standards.",https://outschool.com/classes/fifth-grade-math-ongoing-math-skills-yZRDnUCo,5,27,265,Ms. Kristin l BA l Masters in Elementary Ed,https://outschool.com/teachers/Kristin-Miranda,4.9,188,9-13,3-10,$11
6th and 7th Grade Math Story Word Problems: Single-Step and Multi-Step Problems,"This class meets once a week to work through 6th and 7th grade single-step and multi-step math story problems together, using addition, subtraction, multiplication and division. #academic",https://outschool.com/classes/6th-and-7th-grade-math-story-word-problems-single-step-and-multi-step-problems-31dqsYML,5,7,97,"Tara Gaines, M.Ed",https://outschool.com/teachers/Tara-Weyen-Gaines,4.9,185,10-13,2-11,$10
Math Problem Solving With Word Problems for 2nd-4th Grades,"In this ongoing math class, students will collaborate to solve one-step and two-step word problems involving whole muiti-digit addition and subtraction as well as basic multiplication and division.",https://outschool.com/classes/math-problem-solving-with-word-problems-for-2nd-4th-grades-VpLOJJTr,5,1,46,Christine Bowman,https://outschool.com/teachers/Christine-Bowman,4.8,214,7-10,1-5,$10
"Basic Math Story Adventures - Addition, Subtraction and More","Join me on an adventure where math come alive. Through the use of stories, games and other activities students will learn basic math concepts in a fun way that sticks in their memory. #academic",https://outschool.com/classes/basic-math-story-adventures-addition-subtraction-and-more-75LZ74pe,5,1,31,Silly School With Teacher Greg,https://outschool.com/teachers/Gregory,4.8,"1,134",4-6,2-7,$11
Math Problem Solving with Word Problems for 3rd-5th Grades,"In this ongoing math class, students will collaborate to solve single step and multi-step word problems based on real world situations using addition, subtraction, multiplication, and division of whole numbers, decimals, and fractions.",https://outschool.com/classes/math-problem-solving-with-word-problems-for-3rd-5th-grades-ftbhoyL1,5,18,272,Christine Bowman,https://outschool.com/teachers/Christine-Bowman,4.8,214,8-10,1-5,$10
Superhero Math Club: Level 1,"In this ongoing math club, students will practice proven mathematic techniques by solving fun superhero-themed problems. Students will love the Superhero Math Club because they recognize the characters and have fun learning.",https://outschool.com/classes/superhero-math-club-level-1-yVHkI511,4.8,59,485,William Peden IV,https://outschool.com/teachers/Billy-Peden,4.9,"2,110",4-7,3-7,$9
"Math Geniuses, Made Here! 4th & 5th Grade Math Support!","This is an ongoing Math Class, that will help 4th and 5th grader gain Confidence and Understanding of Grade Level Math Concepts.",https://outschool.com/classes/math-geniuses-made-here-4th-5th-grade-math-support-fufOJ3x4,4.6,11,138,Dave McLaughlin,https://outschool.com/teachers/Teacher-Dave,4.8,281,10-12,1-10,$30
4th Grade Full Curriculum Year Math,"This is a 4th Grade class covering concepts in Math. It is an ongoing class, which teaches an in-depth full year of 4th Grade curriculum. This class meets 3x a week and each week will cover a stand alone topic, with no previous knowledge required. Students should have a previous knowledge of addition and subtraction but all abilities are greatly welcomed.",https://outschool.com/classes/4th-grade-full-curriculum-year-math-p3IXLF6S,4.7,7,56,Wild and Unstructured Learning,https://outschool.com/teachers/Ms-Tiara,4.8,812,8-10,2-9,$66
Bridging 4th to 5th Grade Math,"In this ongoing class, scholars are eased into 5th grade level math skills. Choose the skills that your child most needs to practice, or come every week to practice every skill.",https://outschool.com/classes/bridging-4th-to-5th-grade-math-OJz449Pl,5,20,315,Stacey Whitten,https://outschool.com/teachers/Mrs-Whitten,5,393,9-11,3-15,$15
Math Minds: Unlocking the Potential of Neurodivergent (50 Minutes),"Individualized math learning for students who have ADHD, autism, and/or other executive functioning disorders #confidence",https://outschool.com/classes/math-minds-unlocking-the-potential-of-neurodivergent-50-minutes-Kp1T9rfd,4.5,27,185,Math Planets,https://outschool.com/teachers/MathPlanets,4.8,128,4-17,1,$48
Ongoing Club: Fourth Grade Math Fun!,"In this ongoing fourth grade math class, we will meet once a week to learn a new math concept, practice, and play a math game together. #academic",https://outschool.com/classes/ongoing-club-fourth-grade-math-fun-VR4Q1NkE,5,1,25,Effective Effort with Elizabeth Sheridan,https://outschool.com/teachers/Elizabeth-Sheridan,5,504,8-11,3-6,$12
Full Second Grade Math Curriculum: Includes All Common Core Standards!,Each week this class will cover a different topic from the second-grade math curriculum.,https://outschool.com/classes/full-second-grade-math-curriculum-includes-all-common-core-standards-g4Dqp6Ex,5,3,29,Seana Mohr,https://outschool.com/teachers/Ms-Seana,4.9,346,7-9,2-4,$14
A Kindergarten Math Dinosaur Adventure: Ongoing Kindergarten Math Concepts,"In this 1x/week ongoing course, students will follow the Dinosaur Friends on an adventure while practicing counting, shapes, patterns, calendar/dates, and simple addition/subtraction. #academic #kindergarten #math",https://outschool.com/classes/a-kindergarten-math-dinosaur-adventure-ongoing-kindergarten-math-concepts-IxtrZxZf,4.7,74,849,The Dinosaur Friends Academy,https://outschool.com/teachers/The%20Dinosaur-Friends-Academy,4.8,253,4-6,2-7,$14
Kindergarten Math Games,"In this ongoing class, learners will be able to practice their kindergarten math skills while playing different math games.",https://outschool.com/classes/kindergarten-math-games-OEVQnETA,5,1,37,Ms. Stephanie,https://outschool.com/teachers/Teacher-Stephanie-202007,5,293,5-6,1-4,$8
Mastering Multiplication/Division,"In this ongoing course, learners will be working on mastering multiplication and division",https://outschool.com/classes/mastering-multiplicationdivision-DMaOcczI,4.8,51,558,Ryan Eglinton M.S Education,https://outschool.com/teachers/Ryan-Eglinton,4.9,783,8-12,3-8,$15
"Let Me Help! Reading, Writing or Math 1:1 Private Tutor (Certified Teacher 1st-6Th Grade)","This is a private class designed to be very specific to your learner’s academic needs. Prior to the class YOU tell ME what areas of learning they need to strengthen on. Reading, Writing, Math and more! I teach to that academic need using research-based strategies. This class is perfect for supporting and supplementing homeschool curriculum as well as extra support for public and private education. Fall tutoring is available now! Message me for details. 💥💥 AFTERNOON class times available with this link....👇🏼 https://outschool.com/classes/let-me-help-reading-writing-or-math-11-private-tutor-1st-6th-grade-yoOOMc7Z?usid=hxHfZTb9&signup=true&utm_campaign=share_activity_link",https://outschool.com/classes/let-me-help-reading-writing-or-math-11-private-tutor-certified-teacher-1st-6th-g-92Gpra7p,4.9,361,730,Mrs. Amber-certified and licensed educator,https://outschool.com/teachers/Amber-Rutherford,4.9,662,6-11,1,$30
Math Is Your Path-Middle Schoolers! Master Your Multiplication Tables This Fall,"Need to practice the multiplication tables? Relieve math anxiety in grades 6-9. This is a FUN class with SERIOUS results! MORE than just memorizing numbers, we apply Number Sense. Taught by a certified math teacher. Once a week",https://outschool.com/classes/math-is-your-path-middle-schoolers-master-your-multiplication-tables-this-fall-qq6iVWd3,5,6,77,"Ms.Cheryl, Math Is Your Path Cert. Math Teacher",https://outschool.com/teachers/Ms.Cheryl,4.9,87,11-14,3-10,$20
7th Grade Math Skills Common Core Standards (Ongoing - Full Course Curriculum),"In 7th Grade Math Skills learners will increase and review their understanding of concepts commonly taught in grade seven math. Teacher Bob 7th grade math courses and tutoring are a great help to young learners, whether they are public, private, or home schooled.",https://outschool.com/classes/7th-grade-math-skills-common-core-standards-ongoing-full-course-curriculum-HiPb03AH,5,13,113,"Robert Wyse (Certified Teacher) BEd, TEFL",https://outschool.com/teachers/Teacher-Bob,4.9,163,10-14,3-18,$14
Master Your Division Facts - Minecraft Division! (ONGOING),This is a weekly class that allows students to become confident in learning and memorizing their division facts 0-12. Students will practice their facts using Kahoot and have fun completing activities that will improve their scores! #academic,https://outschool.com/classes/master-your-division-facts-minecraft-division-ongoing-NW7WyoYx,4.9,16,187,Natalie Lipps,https://outschool.com/teachers/Natalie-Lipps,4.9,874,8-12,1-12,$16
Math Masters! 1:1 Math Tutoring Intervention for Struggling Learner Dyscalculia,"This is an ongoing class that will work on mastering and enriching students procedural, conceptional, and reasoning skills in math. This class also provides instruction for students who are identified with dyscalculia up to 5th grade level",https://outschool.com/classes/math-masters-11-math-tutoring-intervention-for-struggling-learner-dyscalculia-FWkeiSKR,4.8,44,239,Mrs. Wilkerson (B.S.Ed) Math & Reading Teacher,https://outschool.com/teachers/Mrs-Wilkerson,4.9,147,5-15,1,$30
Math Tutoring With Mr. B! Ongoing Class to Learn/Practice to Strengthen Skills,This ongoing class will focus and adapt to your student's current math needs and allows both for conquering new concepts or assisting in tackling current math roadblocks or difficult homework problems.,https://outschool.com/classes/math-tutoring-with-mr-b-ongoing-class-to-learnpractice-to-strengthen-skills-Gshkjz5o,5,83,283,Tony Baulos - Certified Math Teacher,https://outschool.com/teachers/Tony-Baulos,4.9,151,7-10,1,$30
"1, 2, 3 - Learn Math With Me!","Full of counting, movement & giggles, this play-based class offers a full, standards-based preschool / pre-K math curriculum in a quick 30 minutes.",https://outschool.com/classes/1-2-3-learn-math-with-me-cNRnbgR0,5,10,49,Ms. Julie,https://outschool.com/teachers/Ms-Julie-202007,5,164,3-6,3-7,$11
"First Grade Math: Addition, Subtraction, Graphs, Skip Counting, Clocks, Money and More!","In this ongoing first grade math class, students will learn concepts from the grade one common core curriculum! Taught by a Certified Teacher SNEA, BEd, MEd. #academic",https://outschool.com/classes/first-grade-math-addition-subtraction-graphs-skip-counting-clocks-money-and-more-5egY563w,4.9,19,158,"Alissa Oakes (Certified: SNEA, BEd, MEd 2022)",https://outschool.com/teachers/Alissa-Ninomiya,5,517,5-8,3-7,$24
Teacher Mel's Math Club: Let's Practice Multiplication and Division,"Multiplication and division don't need to be boring. In this fun and interactive class we'll play a series of games that allow students to practice their times tables, multi digit multiplication, and long division.",https://outschool.com/classes/teacher-mels-math-club-lets-practice-multiplication-and-division-qbelkyLu,4.9,9,66,Teacher Mel,https://outschool.com/teachers/Melissa-Boutilier-2020,4.9,518,9-12,4-8,$18
8th Grade (Pre-Algebra) Full Curriculum: Ongoing,This ongoing course will cover the 8th Grade Common Core Standards. This is a great opportunity for students to get additional help after school or for homeschooled students to get math instruction for the year. #academic,https://outschool.com/classes/8th-grade-pre-algebra-full-curriculum-ongoing-lIqsbMPx,5,2,55,Seed and Stem Learning Center,https://outschool.com/teachers/seedandstemlearning,4.8,657,12-14,3-15,$34
"Private Math Tutoring | Pre-Algebra, Algebra 1, & Algebra 2 (Weekly)","Need help in Pre-Algebra, Algebra 1, or Algebra 2😟? In this weekly ongoing math tutoring class your learner will be able to get help on topics and homework problems that they need more clarity on😃.",https://outschool.com/classes/private-math-tutoring-a1u0FxUX,5,8,40,Precision Math Tutoring,https://outschool.com/teachers/Precision-Math-Tutoring,5,24,13-18,1,$55
1-2 Competition Math: Interesting Elementary Problems (Ongoing),An ongoing math discussion class that covers tough problems like those seen in Math Kangaroo and Math Olympiad great for students who are advanced in math! #academic,https://outschool.com/classes/1-2-competition-math-interesting-elementary-problems-ongoing-2EVedagH,4.7,36,305,Tampa Bay Test Prep,https://outschool.com/teachers/Tampa-Bay-Test-Prep,4.8,247,7-8,3-8,$12
Multiplication Math Facts Camp - Learn to Multiply 0 to 12 - Third Grade Ongoing,Join this fun and engaging ongoing course to learn a new multiplication fact in each lesson and practice using it with interactive games with other learners.,https://outschool.com/classes/multiplication-math-facts-camp-learn-to-multiply-0-to-12-third-grade-ongoing-Xd51RxZE,4.2,12,85,Stephanie O.,https://outschool.com/teachers/Stephanie-Hadley-Okelberry,4.8,185,7-11,3-10,$6
6th Grade Math- A Problem Solving Approach (Full Course),"Students will explore 6th grade math and prepare for prealgebra, using brain-friendly methods. Use this as a full homeschool curriculum or a review.",https://outschool.com/classes/6th-grade-math-a-problem-solving-approach-full-course-wSxVvaqq,4.9,16,126,Katy Kampbell M. Ed Math Instruction,https://outschool.com/teachers/Katlin-R-Kampbell,4.8,187,10-14,3-8,$34
Multiplication for Beginners - Minecraft Multiplication! (ONGOING),This is a weekly class that allows students to become confident in learning the basic concepts of multiplication. Students will practice their knowledge of multiplication using Kahoot and have fun watching their scores improve! #academic,https://outschool.com/classes/multiplication-for-beginners-minecraft-multiplication-ongoing-PyZjWO5F,4.9,93,858,Natalie Lipps,https://outschool.com/teachers/Natalie-Lipps,4.9,874,5-10,3-12,$16
Mathletes 6th Grade Math Full Curriculum Class With a Licensed Teacher (2x),"Embark on a math mastery journey with our year-long class! Conquer fears as we explore engaging 6th-grade math concepts like decimals, fractions, integers, and algebra - a classroom experience with a licensed educator at home.",https://outschool.com/classes/mathletes-6th-grade-math-full-curriculum-class-with-a-licensed-teacher-2x-w0sRFx9h,5,13,114,Tara Laczynski B.Ed,https://outschool.com/teachers/Tara-Laczynski,5,264,10-13,4-12,$42
Challenging Math Competition Problems (Grade 3-4),This on-going class will challenge the little minds with competition problems such as Math Kangaroo and Math Olympiad. The teacher will lead the class to discuss and find solutions for math problems chosen from math competitions.,https://outschool.com/classes/challenging-math-competition-problems-grade-3-4-jKICrWzx,4.8,9,76,Mentorhood Mathematics,https://outschool.com/teachers/Mentorhood-Learning-Center,4.8,287,7-10,2-6,$12
4th Grade Full Curriculum Class: 4 Days A Week,"In this ongoing class, students will learn 4th grade material such as Math, Reading, Writing, English, Social Studies, Science, and test taking skills with a certified teacher.",https://outschool.com/classes/4th-grade-full-curriculum-class-4-days-a-week-hcrpTfGv,4.8,9,81,Cherry Learning Center by Mrs. Berry-Cherry,https://outschool.com/teachers/Cherry-Learning-Center,4.7,338,8-10,3-6,$65
