Title,Sub_Title,Rating,Review,Demand,Classes_taken,By_request,URL
"Amanda Draizen, M.ED, MLS",Elementary School Teacher Librarian,4.8,(283),Nan,Classes (3),By Request (17),https://outschool.com/teachers/Amanda-Draizen
"Cameron Weaver, B.S. Math","Pre-Algebra, Algebra 1, & Real Estate Professional",4.9,(146),Popular,Classes (3),By Request (3),https://outschool.com/teachers/Cameron-Weaver
Learnish,Empowering Young Brains,4.6,(767),Popular,Classes (25),By Request (37),https://outschool.com/teachers/Learnish
Dave McLaughlin,Bachelors Degree in Education,4.8,(281),Popular,Classes (3),By Request (1),https://outschool.com/teachers/Teacher-Dave
Paul Yiu,"Math, Coding and Abacus math teacher for Primary school students",4.8,(318),Popular,Classes (6),By Request (0),https://outschool.com/teachers/Paul-Yiu
Learnish,Empowering Young Brains,4.6,(767),Popular,Classes (25),By Request (37),https://outschool.com/teachers/Learnish
Mz. Marianna's Tutoring for Math and Reading,Where learning is FUN and engaging,4.7,(289),Popular,Classes (10),By Request (12),https://outschool.com/teachers/Marianna-Vitale
Jason Maltz,"SAT, GRE, High School and University Teacher",4.8,(222),Popular,Classes (1),By Request (0),https://outschool.com/teachers/Jason-Maltz
Mz. Marianna's Tutoring for Math and Reading,Where learning is FUN and engaging,4.7,(289),Popular,Classes (10),By Request (12),https://outschool.com/teachers/Marianna-Vitale
Maria Rebecca Gloria,Math Teacher,4.9,"(1,258)",Popular,Classes (3),By Request (12),https://outschool.com/teachers/Maria-Rebecca-Gloria
Stacey Whitten,Certified teacher with a Masters in Elementary Education and 29 years of teaching experience,5.0,(393),Popular,Classes (9),By Request (3),https://outschool.com/teachers/Mrs-Whitten
Natalie Lipps,(K-12) Educator (Former Private Tutor & ESL Instructor),4.9,(874),Popular,Classes (8),By Request (0),https://outschool.com/teachers/Natalie-Lipps
Mz. Marianna's Tutoring for Math and Reading,Where learning is FUN and engaging,4.7,(289),Popular,Classes (10),By Request (12),https://outschool.com/teachers/Marianna-Vitale
"Cameron Weaver, B.S. Math","Pre-Algebra, Algebra 1, & Real Estate Professional",4.9,(146),Popular,Classes (3),By Request (3),https://outschool.com/teachers/Cameron-Weaver
Ms. Jericha's Mathprov Academy,Where calculation meets creativity,4.9,(197),Popular,Classes (6),By Request (7),https://outschool.com/teachers/Jericha-Roberson
Stacey Whitten,Certified teacher with a Masters in Elementary Education and 29 years of teaching experience,5.0,(393),Popular,Classes (9),By Request (3),https://outschool.com/teachers/Mrs-Whitten
Jenny,"Those who laugh most, learn best!",4.9,(478),Popular,Classes (15),By Request (68),https://outschool.com/teachers/Jenny-202109
Learnish,Empowering Young Brains,4.6,(767),Popular,Classes (25),By Request (37),https://outschool.com/teachers/Learnish
"Amanda Draizen, M.ED, MLS",Elementary School Teacher Librarian,4.8,(283),Nan,Classes (3),By Request (17),https://outschool.com/teachers/Amanda-Draizen
"Teacher Heidi - BSc., PGCE",UK Primary School Teacher,5.0,(19),Nan,Classes (3),By Request (2),https://outschool.com/teachers/Heidi-Evans
Elisa Neal,Licensed Teacher,5.0,(102),Popular,Classes (6),By Request (10),https://outschool.com/teachers/Elisa-Neal
Dana Hutsell,"Miss Dana - Bachelors of Elementary Education, Licensed Teacher",5.0,(48),Nan,Classes (3),By Request (12),https://outschool.com/teachers/Dana-Hutsell
Click Tutoring and Learning,"Engaging learners to build knowledge, think critically, make mistakes and feel great!",4.8,(47),Nan,Classes (5),By Request (11),https://outschool.com/teachers/Click-Tutoring-and-Learning
"Sharon Gribble, MEd","Licensed, experienced, energetic science, reading, math & ESL teacher with a passion for creating fun, educational escape rooms.",4.9,(489),Nan,Classes (46),By Request (18),https://outschool.com/teachers/Teacher_Sharon
"Teacher Shaniqua H, MSW","Experienced, patient, and encouraging, online/virtual teacher since 2012. Let me know if you need a different time or class!!!!!!!",5.0,(239),Nan,Classes (14),By Request (28),https://outschool.com/teachers/Shaniqua-Holmes
Natalie Wright,Math is FUN!,4.9,(258),Nan,Classes (5),By Request (16),https://outschool.com/teachers/Natalie-Wright
Ms. Kristin l BA l Masters in Elementary Ed,Licensed Elementary School Teacher l Masters in Elementary Education 1-6,4.9,(188),Nan,Classes (10),By Request (18),https://outschool.com/teachers/Kristin-Miranda
"Tara Gaines, M.Ed","Certified K-8 teacher, an international educator, nature lover, traveler, avid reader, and endless learner",4.9,(185),Popular,Classes (6),By Request (21),https://outschool.com/teachers/Tara-Weyen-Gaines
Christine Bowman,Building foundational skills and creating positive mindsets in mathematics.,4.8,(214),Rising Star,Classes (4),By Request (0),https://outschool.com/teachers/Christine-Bowman
Silly School With Teacher Greg,Learning can be fun! Let's do this together!,4.8,"(1,134)",Popular,Classes (39),By Request (30),https://outschool.com/teachers/Gregory
Christine Bowman,Building foundational skills and creating positive mindsets in mathematics.,4.8,(214),Rising Star,Classes (4),By Request (0),https://outschool.com/teachers/Christine-Bowman
William Peden IV,Mr. Peden Makes Learning Fun!,4.9,"(2,110)",Nan,Classes (7),By Request (7),https://outschool.com/teachers/Billy-Peden
Dave McLaughlin,Bachelors Degree in Education,4.8,(281),Popular,Classes (3),By Request (1),https://outschool.com/teachers/Teacher-Dave
Wild and Unstructured Learning,"We work hard to instill a love of learning. Growing minds, Freeing spirits!",4.8,(812),Popular,Classes (218),By Request (76),https://outschool.com/teachers/Ms-Tiara
Stacey Whitten,Certified teacher with a Masters in Elementary Education and 29 years of teaching experience,5.0,(393),Popular,Classes (9),By Request (3),https://outschool.com/teachers/Mrs-Whitten
Math Planets,A personalized 1-on-1 math program for kids who want to improve their math confidence the fun way.,4.8,(128),Popular,Classes (7),By Request (49),https://outschool.com/teachers/MathPlanets
Effective Effort with Elizabeth Sheridan,Experienced Elementary Special Education Teacher,5.0,(504),Popular,Classes (11),By Request (13),https://outschool.com/teachers/Elizabeth-Sheridan
Seana Mohr,K-3 Teacher passionate about making learning fun!,4.9,(346),Nan,Classes (5),By Request (26),https://outschool.com/teachers/Ms-Seana
The Dinosaur Friends Academy,Dinosaur Math!,4.8,(253),Nan,Classes (4),By Request (4),https://outschool.com/teachers/The%20Dinosaur-Friends-Academy
Ms. Stephanie,"Elementary School Teacher, M.Ed",5.0,(293),Nan,Classes (22),By Request (24),https://outschool.com/teachers/Teacher-Stephanie-202007
Ryan Eglinton M.S Education,"No common core, just common sense.",4.9,(783),Nan,Classes (2),By Request (3),https://outschool.com/teachers/Ryan-Eglinton
Mrs. Amber-certified and licensed educator,Experienced and Certified Elementary Teacher in all Core Classes!! 17 years!,4.9,(662),Popular,Classes (2),By Request (36),https://outschool.com/teachers/Amber-Rutherford
"Ms.Cheryl, Math Is Your Path Cert. Math Teacher",CERTIFIED MATH TEACHER AND TUTOR,4.9,(87),Nan,Classes (7),By Request (14),https://outschool.com/teachers/Ms.Cheryl
"Robert Wyse (Certified Teacher) BEd, TEFL",Outschool Ace Educator,4.9,(163),Nan,Classes (6),By Request (7),https://outschool.com/teachers/Teacher-Bob
Natalie Lipps,(K-12) Educator (Former Private Tutor & ESL Instructor),4.9,(874),Popular,Classes (8),By Request (0),https://outschool.com/teachers/Natalie-Lipps
Mrs. Wilkerson (B.S.Ed) Math & Reading Teacher,"Licensed K-6 Educator focused on Collaboration, Student Voice, and Equity, 15+ years of experience",4.9,(147),Popular,Classes (6),By Request (9),https://outschool.com/teachers/Mrs-Wilkerson
Tony Baulos - Certified Math Teacher,"Mixing fun with learning! Math, Science, and Early Childhood Teacher who loves all things tech!",4.9,(151),Popular,Classes (0),By Request (0),https://outschool.com/teachers/Tony-Baulos
Ms. Julie,"Preschool, Early Literacy, theatre, ELA and poetry teacher",5.0,(164),Popular,Classes (7),By Request (10),https://outschool.com/teachers/Ms-Julie-202007
"Alissa Oakes (Certified: SNEA, BEd, MEd 2022)",Early Elementary School Teacher Specializing in Grades K - 3,5.0,(517),Star Educator,Classes (9),By Request (18),https://outschool.com/teachers/Alissa-Ninomiya
Teacher Mel,Learning through adventure!,4.9,(518),Popular,Classes (5),By Request (15),https://outschool.com/teachers/Melissa-Boutilier-2020
Seed and Stem Learning Center,Connecting students across the globe through stem education!,4.8,(657),Popular,Classes (105),By Request (75),https://outschool.com/teachers/seedandstemlearning
Precision Math Tutoring,Prepare to divide and conquer,5.0,(24),Nan,Classes (0),By Request (9),https://outschool.com/teachers/Precision-Math-Tutoring
Tampa Bay Test Prep,Math specialists in helping student catch up and excel - teaching foundational and competition math from patient and caring instructors! Course Catalog: http://bit.ly/3S5jYeB,4.8,(247),Popular,Classes (16),By Request (13),https://outschool.com/teachers/Tampa-Bay-Test-Prep
Stephanie O.,Multiplication Mama - Times Tables Teacher,4.8,(185),Nan,Classes (3),By Request (1),https://outschool.com/teachers/Stephanie-Hadley-Okelberry
Katy Kampbell M. Ed Math Instruction,Math Teacher and Mom,4.8,(187),Nan,Classes (11),By Request (18),https://outschool.com/teachers/Katlin-R-Kampbell
Natalie Lipps,(K-12) Educator (Former Private Tutor & ESL Instructor),4.9,(874),Popular,Classes (8),By Request (0),https://outschool.com/teachers/Natalie-Lipps
Tara Laczynski B.Ed,Certified Elementary Math Teacher,5.0,(264),Star Educator,Classes (6),By Request (16),https://outschool.com/teachers/Tara-Laczynski
Mentorhood Mathematics,"Mentorhood is a place for children to learn, understand and master Math; we guide with love and understanding as mentors since 2009. We specialized in teaching Singapore Math.",4.8,(287),Popular,Classes (17),By Request (26),https://outschool.com/teachers/Mentorhood-Learning-Center
Cherry Learning Center by Mrs. Berry-Cherry,Mrs. Berry-Cherry,4.7,(338),Popular,Classes (20),By Request (75),https://outschool.com/teachers/Cherry-Learning-Center
Mrs. Carol Jean McDonald,Dedicated Passionate Teacher with over 30 years Teaching Experience,4.6,(61),Nan,Classes (5),By Request (10),https://outschool.com/teachers/Carol-Jean-Mcdonald
"Karen Diaz, M.S.Ed",New York State Certified Teacher/ Math Teacher/ Reading Specialist/ Certified in Special Education and General Education,4.9,(144),Popular,Classes (7),By Request (13),https://outschool.com/teachers/Karen-Mc-Gougain-Diaz
Rachel Cooper,ESL online Tutor and Mom of Five,4.9,(205),Nan,Classes (0),By Request (5),https://outschool.com/teachers/Rachel-Cooper
"Amy Tucker, M.Ed.",A Montessori math teacher who believes hands-on learning should delight and inspire,5.0,(92),Popular,Classes (6),By Request (7),https://outschool.com/teachers/Amy-20200617
Tampa Bay Test Prep,Math specialists in helping student catch up and excel - teaching foundational and competition math from patient and caring instructors! Course Catalog: http://bit.ly/3S5jYeB,4.8,(247),Popular,Classes (16),By Request (13),https://outschool.com/teachers/Tampa-Bay-Test-Prep
MsVRichardson,Math is Life!,Nan,Nan,New on Outschool,Classes (1),By Request (3),https://outschool.com/teachers/Our-Others-Keeper-Health-and-Wellness
Ashley M (M.A. Teaching) she/her,"Licensed Masters Level Teacher, Science of Reading, Problem Solving Based Math",4.9,(56),Nan,Classes (2),By Request (2),https://outschool.com/teachers/Ashley-Moore
Fernando Millan,Math Specialists LLC,4.9,(874),Popular,Classes (19),By Request (33),https://outschool.com/teachers/Fernando-Millan
"April Moser, M.Ed.",Former 6th Grade Math Teacher and Baking/Cooking Instructor,4.9,(87),Nan,Classes (3),By Request (3),https://outschool.com/teachers/April-Moser
Math Planets,A personalized 1-on-1 math program for kids who want to improve their math confidence the fun way.,4.8,(128),Popular,Classes (7),By Request (49),https://outschool.com/teachers/MathPlanets
The Dinosaur Friends Academy,Dinosaur Math!,4.8,(253),Nan,Classes (4),By Request (4),https://outschool.com/teachers/The%20Dinosaur-Friends-Academy
Kind Academy-Online MicroSchool for Future Leaders,Project-Based Learning | Full Curriculum Pods | Small Group | Tutoring | Global Geography| Life Skills | Engaging Social Studies | Modern Financial Literacy | Hands On Science,4.9,(651),Popular,Classes (9),By Request (19),https://outschool.com/teachers/kindacademy
USA's Prestige Worldwide Education,"We are a group of passionate teachers with not only love, but expertise!",4.9,(82),Popular,Classes (58),By Request (78),https://outschool.com/teachers/USAprestigeworldwide
Kind Academy-Online MicroSchool for Future Leaders,Project-Based Learning | Full Curriculum Pods | Small Group | Tutoring | Global Geography| Life Skills | Engaging Social Studies | Modern Financial Literacy | Hands On Science,4.9,(651),Popular,Classes (9),By Request (19),https://outschool.com/teachers/kindacademy
Cherry Learning Center by Mrs. Berry-Cherry,Mrs. Berry-Cherry,4.7,(338),Popular,Classes (20),By Request (75),https://outschool.com/teachers/Cherry-Learning-Center
Ms. Jericha's Mathprov Academy,Where calculation meets creativity,4.9,(197),Popular,Classes (6),By Request (7),https://outschool.com/teachers/Jericha-Roberson
Learnish,Empowering Young Brains,4.6,(767),Popular,Classes (25),By Request (37),https://outschool.com/teachers/Learnish
Cherry Learning Center by Mrs. Berry-Cherry,Mrs. Berry-Cherry,4.7,(338),Popular,Classes (20),By Request (75),https://outschool.com/teachers/Cherry-Learning-Center
Mentorhood Mathematics,"Mentorhood is a place for children to learn, understand and master Math; we guide with love and understanding as mentors since 2009. We specialized in teaching Singapore Math.",4.8,(287),Popular,Classes (17),By Request (26),https://outschool.com/teachers/Mentorhood-Learning-Center
Alla Rada Russian/SAT Teacher,"SAT, GRE, High School and College Math Teacher",4.9,(99),Star Educator,Classes (4),By Request (11),https://outschool.com/teachers/Alla-Rada
"Jennifer Boham, Licensed Math Teacher",Certified Elem. Education and Certified Middle School Math teacher since 2009!,4.9,(194),Popular,Classes (4),By Request (31),https://outschool.com/teachers/Mrs-Boham
Click Tutoring and Learning,"Engaging learners to build knowledge, think critically, make mistakes and feel great!",4.8,(47),Nan,Classes (5),By Request (11),https://outschool.com/teachers/Click-Tutoring-and-Learning
Fernando Millan,Math Specialists LLC,4.9,(874),Popular,Classes (19),By Request (33),https://outschool.com/teachers/Fernando-Millan
Gail Dykhuis,Math Tutor,4.9,(256),Nan,Classes (5),By Request (3),https://outschool.com/teachers/Gail-Dykhuis
Tampa Bay Test Prep,Math specialists in helping student catch up and excel - teaching foundational and competition math from patient and caring instructors! Course Catalog: http://bit.ly/3S5jYeB,4.8,(247),Popular,Classes (16),By Request (13),https://outschool.com/teachers/Tampa-Bay-Test-Prep
"Mahamudul Hasan, B.Eng Mechanical","Math, Physics, Chemistry & Engineering Design Instructor and Test Prep Expert",4.8,(192),Popular,Classes (4),By Request (43),https://outschool.com/teachers/Mahamudul-Hasan
"Karen Diaz, M.S.Ed",New York State Certified Teacher/ Math Teacher/ Reading Specialist/ Certified in Special Education and General Education,4.9,(144),Popular,Classes (7),By Request (13),https://outschool.com/teachers/Karen-Mc-Gougain-Diaz
Leaves of Learning Academy,"🌳 Welcome to Leaves of Learning Academy! 🌳 Come Grow With Us! We provide academic classes, enrichment and support in the content areas, one-on-one tutoring and science/STEM enrichment classes.",4.8,(578),Popular,Classes (20),By Request (10),https://outschool.com/teachers/Leaves-of-Learning-Academy
Tampa Bay Test Prep,Math specialists in helping student catch up and excel - teaching foundational and competition math from patient and caring instructors! Course Catalog: http://bit.ly/3S5jYeB,4.8,(247),Popular,Classes (16),By Request (13),https://outschool.com/teachers/Tampa-Bay-Test-Prep
Wild and Unstructured Learning,"We work hard to instill a love of learning. Growing minds, Freeing spirits!",4.8,(812),Popular,Classes (218),By Request (76),https://outschool.com/teachers/Ms-Tiara
Jamie,"Certified and Licensed in K-6 Education, Homeschool Mom",5.0,(5),New on Outschool,Classes (1),By Request (10),https://outschool.com/teachers/Homeschool-Mom-Adventures
Kind Academy-Online MicroSchool for Future Leaders,Project-Based Learning | Full Curriculum Pods | Small Group | Tutoring | Global Geography| Life Skills | Engaging Social Studies | Modern Financial Literacy | Hands On Science,4.9,(651),Popular,Classes (9),By Request (19),https://outschool.com/teachers/kindacademy
"Greater Gains: Reading, Math, Writing, Spelling",Experienced teachers and tutors,4.9,(676),Popular,Classes (24),By Request (46),https://outschool.com/teachers/Julie-Chamberlin-2019
"Jennifer Boham, Licensed Math Teacher",Certified Elem. Education and Certified Middle School Math teacher since 2009!,4.9,(194),Popular,Classes (4),By Request (31),https://outschool.com/teachers/Mrs-Boham
Liz Malone,Former Elementary Teacher with a Passion for Making a Difference in the Lives of Kids,4.9,(431),Nan,Classes (4),By Request (29),https://outschool.com/teachers/Liz-Malone
Kristi Leighton Montessori Certified Teacher,Ms. Kristi,5.0,(257),Nan,Classes (4),By Request (47),https://outschool.com/teachers/Kristi-202007
Paul Yiu,"Math, Coding and Abacus math teacher for Primary school students",4.8,(318),Popular,Classes (6),By Request (0),https://outschool.com/teachers/Paul-Yiu
Sherri Colwell,"Minecraft teacher, Coding, Escape Rooms, Architecture",4.8,(547),Popular,Classes (7),By Request (7),https://outschool.com/teachers/Sherri-Colwell
Tampa Bay Test Prep,Math specialists in helping student catch up and excel - teaching foundational and competition math from patient and caring instructors! Course Catalog: http://bit.ly/3S5jYeB,4.8,(247),Popular,Classes (16),By Request (13),https://outschool.com/teachers/Tampa-Bay-Test-Prep
Stone Bridges Academy,Learning something new everyday!- Misses Dee,4.9,(276),Popular,Classes (58),By Request (115),https://outschool.com/teachers/Stone-Bridges-Academy
Jennafer Tucker,Elementary Teacher,5.0,(3),New on Outschool,Classes (2),By Request (6),https://outschool.com/teachers/Jennafer-Tucker-2023
Ms. Nen,,4.6,(120),Nan,Classes (21),By Request (12),https://outschool.com/teachers/Teacher-Nen
"Robert Wyse (Certified Teacher) BEd, TEFL",Outschool Ace Educator,4.9,(163),Nan,Classes (6),By Request (7),https://outschool.com/teachers/Teacher-Bob
Ms Sue M. Ed. Special Education Specialist,"Teacher BA in Psychology, MA of Science in Education",5.0,(74),Star Educator,Classes (1),By Request (8),https://outschool.com/teachers/Teacher-Sue-2022
Kelsey G,Certified Elementary School Teacher,5.0,(216),Star Educator,Classes (19),By Request (21),https://outschool.com/teachers/Kelsey-G
Joshua A,Pokémon Go & Cards,5.0,(202),Popular,Classes (5),By Request (12),https://outschool.com/teachers/Joshua-Aiton-2020
Natalie Lipps,(K-12) Educator (Former Private Tutor & ESL Instructor),4.9,(874),Popular,Classes (8),By Request (0),https://outschool.com/teachers/Natalie-Lipps
Brian McNair,Math Teacher,5.0,(177),Popular,Classes (1),By Request (11),https://outschool.com/teachers/Brian-Mc-Nair
AI Code Academy,STEM Coding and Artificial Intelligence (AI) Programs,4.7,"(1,516)",Popular,Classes (54),By Request (5),https://outschool.com/teachers/AI-Code-Academy
"Jennifer Boham, Licensed Math Teacher",Certified Elem. Education and Certified Middle School Math teacher since 2009!,4.9,(194),Popular,Classes (4),By Request (31),https://outschool.com/teachers/Mrs-Boham
June Roberts,Mrs. Roberts- Certified Teacher,5.0,(68),Star Educator,Classes (2),By Request (4),https://outschool.com/teachers/June-2020
AI Code Academy,STEM Coding and Artificial Intelligence (AI) Programs,4.7,"(1,516)",Popular,Classes (54),By Request (5),https://outschool.com/teachers/AI-Code-Academy
AI Code Academy,STEM Coding and Artificial Intelligence (AI) Programs,4.7,"(1,516)",Popular,Classes (54),By Request (5),https://outschool.com/teachers/AI-Code-Academy
Mrs. Meredith,Current Homeschool Mom and Former Middle School Math Teacher,5.0,(122),Popular,Classes (5),By Request (30),https://outschool.com/teachers/Meredith-202010
"Romie Foley, B.A.",Certified Elementary Educator since 2008,5.0,(53),Star Educator,Classes (12),By Request (6),https://outschool.com/teachers/RomieFoley
"Kristin Garn, B.A., B.Ed",Inspiring Joy With Math,4.8,"(1,953)",Rising Star,Classes (2),By Request (4),https://outschool.com/teachers/Chris
"Romie Foley, B.A.",Certified Elementary Educator since 2008,5.0,(53),Star Educator,Classes (12),By Request (6),https://outschool.com/teachers/RomieFoley
Mind over Math - Tutoring and Group Classes,The tools to help your learner succeed!,4.9,(286),Popular,Classes (18),By Request (44),https://outschool.com/teachers/Mind-Over-Math
Erin Kathleen Howard,Have fun while learning math with me!,5.0,(699),Star Educator,Classes (19),By Request (25),https://outschool.com/teachers/Erin-Kathleen-Howard
Wild and Unstructured Learning,"We work hard to instill a love of learning. Growing minds, Freeing spirits!",4.8,(812),Popular,Classes (218),By Request (76),https://outschool.com/teachers/Ms-Tiara
Liz Malone,Former Elementary Teacher with a Passion for Making a Difference in the Lives of Kids,4.9,(431),Nan,Classes (4),By Request (29),https://outschool.com/teachers/Liz-Malone
Lauren Schwartz,"Masters in SPED, Dedicated Teacher and Coach",4.9,(158),Nan,Classes (1),By Request (2),https://outschool.com/teachers/Lauren-Schwartz
"Amanda Manzke, M.S. Ed.","School Psychologist, Online Teacher",4.9,(541),Nan,Classes (0),By Request (14),https://outschool.com/teachers/Amanda-L-Manzke
"Jennifer Boham, Licensed Math Teacher",Certified Elem. Education and Certified Middle School Math teacher since 2009!,4.9,(194),Popular,Classes (4),By Request (31),https://outschool.com/teachers/Mrs-Boham
Miss Debbie,Math Interventionist,5.0,(108),Popular,Classes (22),By Request (1),https://outschool.com/teachers/Mrs-G-202011
Professor Kitty BS ChemE-UVa; MBA-Case Western,"High energy STEM, math, & business teaching! Goto bit.ly/kittymath2023 to get links to all of my Outschool listing! ""My Freshman daughter came downstairs after class and told me she was glad she was taking this class."" -personal testimonies always make the best headlines!",5.0,(369),Popular,Classes (17),By Request (42),https://outschool.com/teachers/Professor-Kitty
"April Moser, M.Ed.",Former 6th Grade Math Teacher and Baking/Cooking Instructor,4.9,(87),Nan,Classes (3),By Request (3),https://outschool.com/teachers/April-Moser
Mind over Math - Tutoring and Group Classes,The tools to help your learner succeed!,4.9,(286),Popular,Classes (18),By Request (44),https://outschool.com/teachers/Mind-Over-Math
Ms. Phoenix (Math Tutoring),Certified Math Teacher & Private Tutor,4.9,(98),Star Educator,Classes (0),By Request (1),https://outschool.com/teachers/Ms-Phoenix
"Kristen Easter, MT","“Education is not the filling of a pail, but the lighting of a fire.” - Yeats",5.0,(64),Nan,Classes (2),By Request (13),https://outschool.com/teachers/Krist-En-Easter
Wild and Unstructured Learning,"We work hard to instill a love of learning. Growing minds, Freeing spirits!",4.8,(812),Popular,Classes (218),By Request (76),https://outschool.com/teachers/Ms-Tiara
The Dinosaur Friends Academy,Dinosaur Math!,4.8,(253),Nan,Classes (4),By Request (4),https://outschool.com/teachers/The%20Dinosaur-Friends-Academy
Mrs. Kennedy (M.Ed.),Critical Thinking & Algebra for Struggling Learners,5.0,(104),Star Educator,Classes (4),By Request (26),https://outschool.com/teachers/Mary-Kennedy
Cherry Learning Center by Mrs. Berry-Cherry,Mrs. Berry-Cherry,4.7,(338),Popular,Classes (20),By Request (75),https://outschool.com/teachers/Cherry-Learning-Center
Mz. Marianna's Tutoring for Math and Reading,Where learning is FUN and engaging,4.7,(289),Popular,Classes (10),By Request (12),https://outschool.com/teachers/Marianna-Vitale
Mrs. Kennedy (M.Ed.),Critical Thinking & Algebra for Struggling Learners,5.0,(104),Star Educator,Classes (4),By Request (26),https://outschool.com/teachers/Mary-Kennedy
Ms. Julie-(B.S./MA RDG/MATH/ESL/ACE),"Passionate Elementary, Middle and High School Teacher",4.8,(671),Rising Star,Classes (62),By Request (171),https://outschool.com/teachers/Ms-Julie
Ms. Sarah,"Doctor of Audiology, 14 Years of Teaching Experience",5.0,(382),Nan,Classes (12),By Request (34),https://outschool.com/teachers/Sarah-Clancy
Ms. Natasha,Hello! Happy to meet you!,5.0,(423),Nan,Classes (19),By Request (156),https://outschool.com/teachers/MsNatasha
Mrs. Carol Jean McDonald,Dedicated Passionate Teacher with over 30 years Teaching Experience,4.6,(61),Nan,Classes (5),By Request (10),https://outschool.com/teachers/Carol-Jean-Mcdonald
Mentorhood Mathematics,"Mentorhood is a place for children to learn, understand and master Math; we guide with love and understanding as mentors since 2009. We specialized in teaching Singapore Math.",4.8,(287),Popular,Classes (17),By Request (26),https://outschool.com/teachers/Mentorhood-Learning-Center
"Kim Pinard, M.A. Learning and Instruction",General Education and Special Education Instructor,5.0,(13),Star Educator,Classes (3),By Request (4),https://outschool.com/teachers/Kim-Pinard
"Kristin Garn, B.A., B.Ed",Inspiring Joy With Math,4.8,"(1,953)",Rising Star,Classes (2),By Request (4),https://outschool.com/teachers/Chris
Ms. Sarah,"Doctor of Audiology, 14 Years of Teaching Experience",5.0,(382),Nan,Classes (12),By Request (34),https://outschool.com/teachers/Sarah-Clancy
Mind over Math - Tutoring and Group Classes,The tools to help your learner succeed!,4.9,(286),Popular,Classes (18),By Request (44),https://outschool.com/teachers/Mind-Over-Math
Nan,Nan,Nan,Nan,Nan,Nan,Nan,https://outschool.com/teachers/Ms-Julie
Learnish,Empowering Young Brains,4.6,(767),Popular,Classes (25),By Request (37),https://outschool.com/teachers/Learnish
Ms. Julie-(B.S./MA RDG/MATH/ESL/ACE),"Passionate Elementary, Middle and High School Teacher",4.8,(671),Rising Star,Classes (62),By Request (171),https://outschool.com/teachers/Ms-Julie
Nan,Nan,Nan,Nan,Nan,Nan,Nan,https://outschool.com/teachers/Ms-Julie
Stone Bridges Academy,Learning something new everyday!- Misses Dee,4.9,(276),Popular,Classes (58),By Request (115),https://outschool.com/teachers/Stone-Bridges-Academy
Seana Mohr,K-3 Teacher passionate about making learning fun!,4.9,(346),Nan,Classes (5),By Request (26),https://outschool.com/teachers/Ms-Seana
"Katherine Jones, M.Ed.",Growing and learning together!,4.9,(40),Nan,Classes (11),By Request (2),https://outschool.com/teachers/Mrs-Jones
Brian McNair,Math Teacher,5.0,(177),Popular,Classes (1),By Request (11),https://outschool.com/teachers/Brian-Mc-Nair
"Michaela Sellers, M.Ed. - Math and Writing Coach","Specializing in Math, Writing, Gifted Education, OG Math, Dyscalculia, and ESL",4.9,"(1,667)",Star Educator,Classes (21),By Request (5),https://outschool.com/teachers/Michaela
Teacher Kendra M.S. Elementary Education/ESL,Teacher Kendra Let’s Learn Cool Stuff,4.9,(17),Nan,Classes (5),By Request (4),https://outschool.com/teachers/Kendra-Marshall
USA's Prestige Worldwide Education,"We are a group of passionate teachers with not only love, but expertise!",4.9,(82),Popular,Classes (58),By Request (78),https://outschool.com/teachers/USAprestigeworldwide
